symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
SWBBL,2024-12-29,890.0,892.0,873.0,889.8,"DOJI,DOJISTAR,DRAGONFLYDOJI,HAMMER,HIGHWAVE,LONGLEGGEDDOJI,SPINNINGTOP,TAKURI",0.25
SWBBLP,2024-08-06,782.0,782.0,782.0,782.0,"DOJI,SHORTLINE",0.5
TRH,2024-12-29,1079.9,1080.0,1064.0,1080.0,"DOJI,DOJISTAR,DRAGONFLYDOJI,HAMMER,LONGLEGGEDDOJI,TAKURI",0.17
UAIL,2024-12-29,628.0,633.0,623.3,632.5,"DOJI,DRAGONFLYDOJI,HANGINGMAN,LONGLEGGEDDOJI,SHORTLINE",0.33
UHEWA,2024-12-29,680.0,713.0,678.0,699.9,BELTHOLD,1.0
UMHL,2024-12-29,323.5,330.0,318.0,319.9,"DOJI,DOJISTAR,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.33
UNLB,2024-12-29,2400.2,2652.0,2400.2,2530.0,BELTHOLD,1.0
UPPER,2024-12-29,204.0,208.8,203.0,204.0,"DOJI,HAMMER,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP,TAKURI",0.11
USHEC,2024-12-29,598.7,615.0,585.1,594.0,"DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,RICKSHAWMAN,SHOOTINGSTAR,SHORTLINE,SPINNINGTOP,TRISTAR",0.5
USHL,2024-12-29,750.5,790.0,750.5,785.0,SHORTLINE,1.0
VLBS,2024-12-29,859.8,872.0,842.8,858.0,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",1.0
VLBSPO,2024-12-22,495.0,495.0,495.0,495.0,"DOJI,SHORTLINE",0.5
VLUCL,2024-12-29,650.0,669.9,645.0,657.0,"DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHOOTINGSTAR,SHORTLINE,TRISTAR",0.25
